Album	Track	Title
REP	5	Delicate
REP	6	Look What You Made Me Do
REP	7	So It Goes...
REP	8	Gorgeous
REP	9	Getaway Car
REP	10	King Of My Heart
REP	11	Dancing With Our Hands Tied
REP	12	Dress
REP	13	This Is Why We Can't Have Nice Things
REP	14	Call It What You Want
REP	15	New Year's Day
LVR	1	I Forgot That You Existed
LVR	2	Cruel Summer
LVR	3	Lover
LVR	4	The Man
LVR	5	The Archer
LVR	6	I Think He Knows
LVR	7	Miss Americana & The Heartbreak Prince
LVR	8	Paper Rings
LVR	9	Cornelia Street
LVR	10	Death By A Thousand Cuts
LVR	11	London Boy
LVR	12	Soon You'll Get Better
LVR	13	False God
LVR	14	You Need To Calm Down
LVR	15	Afterglow
LVR	16	Me!
LVR	17	It's Nice To Have A Friend
LVR	18	Daylight
FOL	1	The 1
FOL	2	Cardigan
FOL	3	The Last Great American Dynasty
FOL	4	Exile
FOL	5	My Tears Ricochet
FOL	6	Mirrorball
FOL	7	Seven
FOL	8	August
FOL	9	This Is Me Trying
FOL	10	Illicit Affairs
FOL	11	Invisible String
FOL	12	Mad Woman
FOL	13	Epiphany
FOL	14	Betty
FOL	15	Peace
FOL	16	Hoax
FOL	17	The Lakes
EVE	1	Willow
EVE	2	Champagne Problems
EVE	3	Gold Rush
EVE	4	'Tis The Damn Season
EVE	5	Tolerate It
EVE	6	No Body, No Crime
EVE	7	Happiness
EVE	8	Dorothea
EVE	9	Coney Island
EVE	10	Ivy
EVE	11	Cowboy Like Me
EVE	12	Long Story Short
EVE	13	Marjorie
EVE	14	Closure
EVE	15	Evermore
EVE	16	Right Where You Left Me
EVE	17	It's Time To Go
MID	1	Lavender Haze
MID	2	Maroon
MID	3	Anti-Hero
MID	5	You're On Your Own, Kid
MID	6	Midnight Rain
MID	7	Question...?
MID	8	Vigilante Shit
MID	9	Bejeweled
MID	10	Labyrinth
MID	11	Karma
MID	12	Sweet Nothing
MID	13	Mastermind
MID	14	The Great War
MID	15	Bigger Than The Whole Sky
MID	16	Paris
MID	17	High Infidelity
MID	18	Glitch
MID	19	Would've, Could've, Should've
MID	20	Dear Reader
MID	21	Hits Different
MID	22	Snow On The Beach (Feat. More Lana Del Rey)
TPD	1	Fortnight
TPD	2	The Tortured Poets Department
TPD	3	My Boy Only Breaks His Favorite Toys
TPD	4	Down Bad
TPD	5	So Long, London
TPD	6	But Daddy I Love Him
TPD	7	Fresh Out The Slammer
TPD	8	Florida!!!
TPD	9	Guilty As Sin?
TPD	10	Who's Afraid Of Little Old Me?
TPD	11	I Can Fix Him (No Really I Can)
TPD	12	Loml
TPD	13	I Can Do It With A Broken Heart
TPD	14	The Smallest Man Who Ever Lived
TPD	15	The Alchemy
TPD	16	Clara Bow
TPD	17	The Black Dog
TPD	18	Imgonnagetyouback
TPD	19	The Albatross
TPD	20	Chloe Or Sam Or Sophia Or Marcus
TPD	21	How Did It End?
TPD	22	So High School
TPD	23	I Hate It Here
TPD	24	Thank You Aimee
TPD	25	I Look In People's Windows
TPD	26	The Prophecy
TPD	27	Cassandra
TPD	28	Peter
TPD	29	The Bolter
TPD	30	Robin
TPD	31	The Manuscript
LSG	1	The Fate Of Ophelia
LSG	2	Elizabeth Taylor
LSG	3	Opalite
LSG	4	Father Figure
LSG	5	Eldest Daughter
LSG	6	Ruin The Friendship
LSG	7	Actually Romantic
LSG	8	Wi$H Li$T
LSG	9	Wood
LSG	10	Cancelled!
LSG	11	Honey
LSG	12	The Life Of A Showgirl
OTH	1	Carolina
OTH	2	Only The Young
